"Label (Grouping)","Total:!!Male:!!18 years and over:!!Native","Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Total:!!Female:!!18 years and over:!!Native","Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen"
"Crawford County, Michigan","","","",""
"    Estimate","5,681","47","5,467","88"
"Delta County, Michigan","","","",""
"    Estimate","14,217","57","14,304","78"
"Dickinson County, Michigan","","","",""
"    Estimate","9,993","77","10,050","122"
"Eaton County, Michigan","","","",""
"    Estimate","40,087","973","42,616","1,252"
"Emmet County, Michigan","","","",""
"    Estimate","12,809","181","13,407","180"
"Genesee County, Michigan","","","",""
"    Estimate","143,295","4,030","160,861","3,158"
"Gladwin County, Michigan","","","",""
"    Estimate","10,027","131","10,183","96"
"Gogebic County, Michigan","","","",""
"    Estimate","6,515","21","5,729","74"
"Grand Traverse County, Michigan","","","",""
"    Estimate","34,952","553","36,992","596"
"Gratiot County, Michigan","","","",""
"    Estimate","17,391","93","14,907","72"
"Hillsdale County, Michigan","","","",""
"    Estimate","17,552","90","17,671","239"
"Houghton County, Michigan","","","",""
"    Estimate","14,693","195","12,298","316"
"Huron County, Michigan","","","",""
"    Estimate","12,282","92","12,465","143"
"Ingham County, Michigan","","","",""
"    Estimate","99,695","4,729","108,575","5,664"
"Ionia County, Michigan","","","",""
"    Estimate","26,618","350","22,415","215"
"Iosco County, Michigan","","","",""
"    Estimate","10,231","117","10,284","215"
"Iron County, Michigan","","","",""
"    Estimate","4,577","25","4,579","49"
"Isabella County, Michigan","","","",""
"    Estimate","27,048","409","29,160","405"
"Jackson County, Michigan","","","",""
"    Estimate","61,794","551","59,169","949"
"Kalamazoo County, Michigan","","","",""
"    Estimate","93,622","2,521","100,377","3,061"
"Kalkaska County, Michigan","","","",""
"    Estimate","7,049","83","6,814","43"
"Kent County, Michigan","","","",""
"    Estimate","215,980","9,937","230,231","10,456"
"Keweenaw County, Michigan","","","",""
"    Estimate","924","1","838","11"
"Lake County, Michigan","","","",""
"    Estimate","4,979","21","4,800","30"
"Lapeer County, Michigan","","","",""
"    Estimate","34,354","419","33,446","418"
"Leelanau County, Michigan","","","",""
"    Estimate","8,546","167","9,074","128"
"Lenawee County, Michigan","","","",""
"    Estimate","38,005","270","37,597","546"
"Livingston County, Michigan","","","",""
"    Estimate","72,647","1,409","72,182","2,285"
"Luce County, Michigan","","","",""
"    Estimate","3,083","27","2,062","15"
"Mackinac County, Michigan","","","",""
"    Estimate","4,506","45","4,208","74"
"Macomb County, Michigan","","","",""
"    Estimate","285,014","30,872","308,111","34,243"
"Manistee County, Michigan","","","",""
"    Estimate","10,318","102","9,570","119"
"Marquette County, Michigan","","","",""
"    Estimate","26,878","326","26,259","491"
"Mason County, Michigan","","","",""
"    Estimate","11,136","95","11,451","201"
"Mecosta County, Michigan","","","",""
"    Estimate","17,758","160","17,105","136"
"Menominee County, Michigan","","","",""
"    Estimate","9,420","42","9,022","150"
"Midland County, Michigan","","","",""
"    Estimate","30,808","499","32,293","745"
"Missaukee County, Michigan","","","",""
"    Estimate","5,771","15","5,678","48"
"Monroe County, Michigan","","","",""
"    Estimate","56,165","916","58,592","986"
"Montcalm County, Michigan","","","",""
"    Estimate","25,168","202","23,343","267"
"Montmorency County, Michigan","","","",""
"    Estimate","3,935","30","3,917","22"
"Muskegon County, Michigan","","","",""
"    Estimate","64,283","842","65,988","1,034"
"Newaygo County, Michigan","","","",""
"    Estimate","18,513","102","18,285","305"
"Oakland County, Michigan","","","",""
"    Estimate","404,378","39,737","437,425","43,694"
"Oceana County, Michigan","","","",""
"    Estimate","9,562","115","9,577","121"
"Ogemaw County, Michigan","","","",""
"    Estimate","8,362","53","8,476","44"
"Ontonagon County, Michigan","","","",""
"    Estimate","2,556","28","2,475","40"
"Osceola County, Michigan","","","",""
"    Estimate","8,945","95","8,928","41"
"Oscoda County, Michigan","","","",""
"    Estimate","3,315","15","3,308","35"
"Otsego County, Michigan","","","",""
"    Estimate","9,433","112","9,625","147"
"Ottawa County, Michigan","","","",""
"    Estimate","100,814","3,595","105,633","4,168"
"Presque Isle County, Michigan","","","",""
"    Estimate","5,268","45","5,253","65"
"Roscommon County, Michigan","","","",""
"    Estimate","9,986","58","9,964","172"
"Saginaw County, Michigan","","","",""
"    Estimate","69,372","1,292","76,302","1,322"
"St. Clair County, Michigan","","","",""
"    Estimate","60,367","990","62,215","941"
"St. Joseph County, Michigan","","","",""
"    Estimate","21,819","264","22,057","257"
"Sanilac County, Michigan","","","",""
"    Estimate","15,745","129","15,899","284"
"Schoolcraft County, Michigan","","","",""
"    Estimate","3,255","14","3,366","19"
"Shiawassee County, Michigan","","","",""
"    Estimate","26,120","99","27,036","232"
"Tuscola County, Michigan","","","",""
"    Estimate","20,647","81","20,871","139"
"Van Buren County, Michigan","","","",""
"    Estimate","26,654","594","27,417","952"
"Washtenaw County, Michigan","","","",""
"    Estimate","125,257","10,814","130,770","10,983"
"Wayne County, Michigan","","","",""
"    Estimate","558,060","43,158","631,495","43,922"
"Wexford County, Michigan","","","",""
"    Estimate","12,581","123","12,723","112"
"Aitkin County, Minnesota","","","",""
"    Estimate","6,573","44","6,499","63"
"Anoka County, Minnesota","","","",""
"    Estimate","120,432","8,892","120,225","10,064"
"Becker County, Minnesota","","","",""
"    Estimate","12,716","108","12,791","126"
"Beltrami County, Minnesota","","","",""
"    Estimate","16,896","149","17,362","229"
"Benton County, Minnesota","","","",""
"    Estimate","14,369","333","14,453","234"
"Big Stone County, Minnesota","","","",""
"    Estimate","1,895","10","1,956","8"
"Blue Earth County, Minnesota","","","",""
"    Estimate","25,056","466","25,672","799"
"Brown County, Minnesota","","","",""
"    Estimate","9,327","190","9,684","170"
"Carlton County, Minnesota","","","",""
"    Estimate","14,235","58","12,972","132"
"Carver County, Minnesota","","","",""
"    Estimate","34,941","1,307","36,202","1,298"
"Cass County, Minnesota","","","",""
"    Estimate","11,678","73","11,286","161"
"Chippewa County, Minnesota","","","",""
"    Estimate","4,210","83","4,291","77"
"Chisago County, Minnesota","","","",""
"    Estimate","21,863","288","20,250","327"
"Clay County, Minnesota","","","",""
"    Estimate","22,205","650","23,365","945"
"Clearwater County, Minnesota","","","",""
"    Estimate","3,341","26","3,239","40"
"Cook County, Minnesota","","","",""
"    Estimate","2,153","39","2,121","52"
"Cottonwood County, Minnesota","","","",""
"    Estimate","3,840","73","3,992","148"
"Crow Wing County, Minnesota","","","",""
"    Estimate","24,784","165","25,268","362"
"Dakota County, Minnesota","","","",""
"    Estimate","137,217","11,117","145,247","11,697"
"Dodge County, Minnesota","","","",""
"    Estimate","7,391","148","7,367","110"
"Douglas County, Minnesota","","","",""
"    Estimate","14,680","198","14,633","114"
"Faribault County, Minnesota","","","",""
"    Estimate","5,180","35","5,244","41"
"Fillmore County, Minnesota","","","",""
"    Estimate","7,733","53","7,862","59"
"Freeborn County, Minnesota","","","",""
"    Estimate","11,063","238","11,142","308"
"Goodhue County, Minnesota","","","",""
"    Estimate","17,254","155","17,699","192"
"Grant County, Minnesota","","","",""
"    Estimate","2,317","6","2,228","10"
"Hennepin County, Minnesota","","","",""
"    Estimate","401,762","42,039","418,698","45,979"
"Houston County, Minnesota","","","",""
"    Estimate","7,184","32","7,273","35"
"Hubbard County, Minnesota","","","",""
"    Estimate","8,439","41","8,147","76"
"Isanti County, Minnesota","","","",""
"    Estimate","14,979","207","14,783","197"
"Itasca County, Minnesota","","","",""
"    Estimate","17,759","82","17,585","206"
"Jackson County, Minnesota","","","",""
"    Estimate","3,755","103","3,613","135"
"Kanabec County, Minnesota","","","",""
"    Estimate","6,355","30","6,278","50"
"Kandiyohi County, Minnesota","","","",""
"    Estimate","14,607","712","14,741","685"
"Kittson County, Minnesota","","","",""
"    Estimate","1,664","7","1,595","56"
"Koochiching County, Minnesota","","","",""
"    Estimate","4,814","167","4,699","167"
"Lac qui Parle County, Minnesota","","","",""
"    Estimate","2,592","18","2,614","36"
"Lake County, Minnesota","","","",""
"    Estimate","4,467","12","4,129","76"
"Lake of the Woods County, Minnesota","","","",""
"    Estimate","1,596","5","1,388","6"
"Le Sueur County, Minnesota","","","",""
"    Estimate","10,613","63","10,482","125"
"Lincoln County, Minnesota","","","",""
"    Estimate","2,121","3","2,153","7"
"Lyon County, Minnesota","","","",""
"    Estimate","8,669","219","8,985","347"
"McLeod County, Minnesota","","","",""
"    Estimate","13,100","162","13,414","300"
"Mahnomen County, Minnesota","","","",""
"    Estimate","1,865","10","1,883","19"
"Marshall County, Minnesota","","","",""
"    Estimate","3,621","37","3,450","63"
"Martin County, Minnesota","","","",""
"    Estimate","7,565","67","7,672","95"
"Meeker County, Minnesota","","","",""
"    Estimate","8,795","53","8,446","57"
"Mille Lacs County, Minnesota","","","",""
"    Estimate","9,717","66","9,708","98"
"Morrison County, Minnesota","","","",""
"    Estimate","12,409","79","12,438","159"
"Mower County, Minnesota","","","",""
"    Estimate","12,786","565","13,407","459"
"Murray County, Minnesota","","","",""
"    Estimate","3,090","40","3,155","25"
"Nicollet County, Minnesota","","","",""
"    Estimate","12,801","237","12,516","256"
"Nobles County, Minnesota","","","",""
"    Estimate","5,798","895","5,874","556"
"Norman County, Minnesota","","","",""
"    Estimate","2,411","2","2,447","17"
"Olmsted County, Minnesota","","","",""
"    Estimate","49,851","3,334","53,427","4,621"
"Otter Tail County, Minnesota","","","",""
"    Estimate","22,147","335","22,190","360"
"Pennington County, Minnesota","","","",""
"    Estimate","5,220","56","5,344","87"
"Pine County, Minnesota","","","",""
"    Estimate","12,535","99","10,643","131"
"Pipestone County, Minnesota","","","",""
"    Estimate","3,028","70","3,365","47"
"Polk County, Minnesota","","","",""
"    Estimate","11,457","291","11,306","294"
"Pope County, Minnesota","","","",""
"    Estimate","4,318","14","4,353","84"
"Ramsey County, Minnesota","","","",""
"    Estimate","163,232","21,557","180,148","23,355"
"Red Lake County, Minnesota","","","",""
"    Estimate","1,505","7","1,495","8"
"Redwood County, Minnesota","","","",""
"    Estimate","5,556","114","5,561","106"
"Renville County, Minnesota","","","",""
"    Estimate","5,474","50","5,374","58"
"Rice County, Minnesota","","","",""
"    Estimate","24,292","605","23,393","561"
"Rock County, Minnesota","","","",""
"    Estimate","3,318","32","3,546","106"
"Roseau County, Minnesota","","","",""
"    Estimate","5,668","242","5,328","113"
"St. Louis County, Minnesota","","","",""
"    Estimate","78,858","925","78,694","1,464"
"Scott County, Minnesota","","","",""
"    Estimate","46,699","4,346","47,238","4,644"
"Sherburne County, Minnesota","","","",""
"    Estimate","34,514","896","33,097","919"
"Sibley County, Minnesota","","","",""
"    Estimate","5,382","97","5,314","84"
"Stearns County, Minnesota","","","",""
"    Estimate","57,423","1,606","57,141","1,772"
"Steele County, Minnesota","","","",""
"    Estimate","12,709","519","13,155","356"
"Stevens County, Minnesota","","","",""
"    Estimate","3,449","126","3,665","92"
"Swift County, Minnesota","","","",""
"    Estimate","3,421","57","3,499","14"
"Todd County, Minnesota","","","",""
"    Estimate","9,150","95","8,859","108"
"Traverse County, Minnesota","","","",""
"    Estimate","1,274","23","1,303","4"
"Wabasha County, Minnesota","","","",""
"    Estimate","8,311","94","8,287","75"
"Wadena County, Minnesota","","","",""
"    Estimate","4,806","13","5,146","40"
"Waseca County, Minnesota","","","",""
"    Estimate","6,561","95","7,175","74"
"Washington County, Minnesota","","","",""
"    Estimate","88,192","5,138","91,128","5,861"
"Watonwan County, Minnesota","","","",""
"    Estimate","3,459","178","3,535","205"
"Wilkin County, Minnesota","","","",""
"    Estimate","2,527","16","2,339","8"
